price;min_to_metro;region_of_moscow;total_area;living_area;floor;number_of_floors;construction_year;is_new;is_apartments;ceiling_height;number_of_rooms;link
800000;12;SWAR;40;;6;14;2009;0;0;2,9;1;https://www.cian.ru/sale/flat/300459829/
1000000;3;NEAR;52,9;30,7;6;12;;0;0;;2;https://www.cian.ru/sale/flat/298377792/
1300000;11;EAR;36,7;;1;9;;0;0;;2;https://www.cian.ru/sale/flat/295919515/
2120000;14;SEAR;13,8;5,8;1;16;2001;0;1;3;1;https://www.cian.ru/sale/flat/299098459/
2200000;17;SWAR;34,9;;5;16;;0;0;2,5;1;https://www.cian.ru/sale/flat/296830781/
2250000;7;WAR;30,6;20;3;5;1962;0;0;;1;https://www.cian.ru/sale/flat/295666829/
2250000;15;NAR;31,6;18;1;5;1967;0;0;;1;https://www.cian.ru/sale/flat/298991779/
2500000;7;NWAR;38;19;4;17;;0;0;;1;https://www.cian.ru/sale/flat/293269136/
2900000;19;EAR;56;30;5;5;;0;0;2,8;1;https://www.cian.ru/sale/flat/300427156/
3000000;4;SEAR;87,5;61;6;6;;0;0;;4;https://www.cian.ru/sale/flat/297007791/
3100000;15;SWAR;12,1;10;3;31;2018;1;1;;1;https://www.cian.ru/sale/flat/300685564/
3200000;4;SAR;31;;9;12;1974;0;0;2,64;1;https://www.cian.ru/sale/flat/300818721/
3250000;17;NAR;63,2;9,5;6;9;;0;0;2,55;4;https://www.cian.ru/sale/flat/297552006/
3300000;16;NAR;11,8;3,8;1;5;;0;1;;1;https://www.cian.ru/sale/flat/300969240/
3500000;20;CAR;13,1;5,1;1;5;1957;0;1;;1;https://www.cian.ru/sale/flat/299098691/
3500000;8;EAR;38,6;19;8;14;;0;0;;1;https://www.cian.ru/sale/flat/298512685/
3600000;10;NAR;45;30;1;5;1961;0;0;2,64;2;https://www.cian.ru/sale/flat/300530388/
3700000;4;NWAR;39,7;;1;27;2011;0;1;3,3;1;https://www.cian.ru/sale/flat/297962396/
3800000;6;WAR;19,6;;1;5;;0;1;;1;https://www.cian.ru/sale/flat/299570374/
3800000;5;NWAR;36;18;1;12;1967;0;0;2,64;1;https://www.cian.ru/sale/flat/299958853/
3800000;13;EAR;44;20;12;12;;0;0;;1;https://www.cian.ru/sale/flat/290644239/
3865000;16;EAR;13,2;5,2;2;6;1961;0;1;2,8;1;https://www.cian.ru/sale/flat/279298831/
3900000;4;EAR;17;12;1;2;;0;1;4;1;https://www.cian.ru/sale/flat/298683140/
3900000;20;CAR;15,6;7,6;1;5;1957;0;1;;1;https://www.cian.ru/sale/flat/299098694/
3950000;10;NAR;13;;1;8;1962;0;1;;1;https://www.cian.ru/sale/flat/299604849/
4000000;7;NWAR;50,3;;15;16;;0;0;;2;https://www.cian.ru/sale/flat/300892118/
4000000;19;NEAR;15;7;1;8;1957;0;1;3;1;https://www.cian.ru/sale/flat/299107847/
4100000;10;NAR;12;;1;8;1962;0;1;;1;https://www.cian.ru/sale/flat/298348886/
4150000;20;CAR;17,1;7,1;1;5;1957;0;1;;1;https://www.cian.ru/sale/flat/299098689/
4150000;15;SWAR;9;5;4;5;2022;0;1;4;1;https://www.cian.ru/sale/flat/299970822/
4250000;16;SWAR;11,2;2,2;3;31;2018;0;1;2,7;1;https://www.cian.ru/sale/flat/290185551/
4300000;17;EAR;14,4;9,8;1;2;;0;1;;1;https://www.cian.ru/sale/flat/300499891/
4350000;7;SEAR;14,3;;3;3;;0;1;2,8;1;https://www.cian.ru/sale/flat/300153550/
4350000;10;SEAR;17,6;11,6;4;16;1974;0;1;2,5;1;https://www.cian.ru/sale/flat/297254800/
4444444;3;NAR;11;6;1;9;;0;1;;1;https://www.cian.ru/sale/flat/288413164/
4500000;16;NAR;17,8;7,8;1;5;;0;1;;1;https://www.cian.ru/sale/flat/300934690/
4500000;9;NAR;15;5;3;3;1943;0;1;2,64;1;https://www.cian.ru/sale/flat/297697989/
4500000;9;SAR;81,9;;5;5;1951;0;0;;1;https://www.cian.ru/sale/flat/293949247/
4650000;14;SAR;10,1;3,1;3;6;;0;1;4,5;1;https://www.cian.ru/sale/flat/288041113/
4750000;;SAR;42,3;21;5;16;2004;0;0;2,6;1;https://www.cian.ru/sale/flat/298263988/
4950000;9;WAR;35,8;19;2;4;1960;0;0;;1;https://www.cian.ru/sale/flat/300589646/
4999999;2;NEAR;20;;4;5;1955;0;1;3;1;https://www.cian.ru/sale/flat/300710740/
4999999;2;NEAR;20,2;;3;5;1955;0;1;3;1;https://www.cian.ru/sale/flat/298357242/
5000000;8;SAR;32,8;21,8;5;12;;0;0;;1;https://www.cian.ru/sale/flat/289694246/
5000000;3;SWAR;16;7;6;7;2013;0;1;3,2;1;https://www.cian.ru/sale/flat/300611210/
5000000;4;CAR;34,7;17;4;12;1966;0;0;2,64;1;https://www.cian.ru/sale/flat/300062146/
5000000;12;SEAR;74;58;1;12;1980;0;0;2,65;4;https://www.cian.ru/sale/flat/299187334/
5015000;4;NEAR;19,7;10,7;4;5;1955;0;1;3;1;https://www.cian.ru/sale/flat/300153461/
5050000;10;NAR;16,3;8,3;2;8;1962;0;1;;1;https://www.cian.ru/sale/flat/298790582/
5149999;2;NEAR;19,5;;1;5;1955;0;1;3,15;1;https://www.cian.ru/sale/flat/300668604/
5155000;2;NEAR;20,3;;3;5;1955;0;1;3;1;https://www.cian.ru/sale/flat/300667780/
5180000;10;NEAR;16,9;;16;16;2019;0;1;2,5;1;https://www.cian.ru/sale/flat/293971061/
5200000;10;NEAR;18,5;10,5;4;16;1980;0;1;;1;https://www.cian.ru/sale/flat/297040416/
5200000;14;SAR;30;18;2;6;;0;1;;1;https://www.cian.ru/sale/flat/297050402/
5200000;10;NEAR;18,5;;4;16;2019;0;1;2,5;1;https://www.cian.ru/sale/flat/292204416/
5200000;7;SEAR;98,4;67,2;6;7;1956;0;0;4;4;https://www.cian.ru/sale/flat/300806626/
5230000;2;NEAR;20,6;;2;5;1955;0;1;3;1;https://www.cian.ru/sale/flat/293859596/
5250000;12;SAR;31,7;;2;6;1986;0;1;4,5;2;https://www.cian.ru/sale/flat/297949797/
5300000;10;NEAR;19;10;1;16;1980;0;1;2,7;1;https://www.cian.ru/sale/flat/294771543/
5350000;12;SAR;31;18;2;6;1986;0;1;4,5;1;https://www.cian.ru/sale/flat/292533826/
5390000;;NAR;17,2;10,2;2;3;;0;1;3,4;1;https://www.cian.ru/sale/flat/300156073/
5430000;16;NEAR;22,5;14;2;16;1989;0;1;3;1;https://www.cian.ru/sale/flat/300111122/
5444000;5;EAR;23;15;1;12;1977;0;1;2,5;1;https://www.cian.ru/sale/flat/281954303/
5445000;2;NEAR;19,8;;2;5;;0;1;3,15;1;https://www.cian.ru/sale/flat/299884766/
5450000;60;WAR;18;;4;5;;0;1;;1;https://www.cian.ru/sale/flat/286867547/
5478000;10;NAR;16,6;7,6;4;4;;0;1;;1;https://www.cian.ru/sale/flat/293983413/
5500000;5;SAR;55;33;2;9;1970;0;0;2,64;2;https://www.cian.ru/sale/flat/300591249/
5500000;;SAR;27;14;4;5;1930;0;1;3;1;https://www.cian.ru/sale/flat/300718061/
5500000;10;CAR;21;12;1;5;1956;0;1;;1;https://www.cian.ru/sale/flat/300433015/
5500000;7;SAR;34,2;19,2;12;12;;0;0;;1;https://www.cian.ru/sale/flat/299105794/
5570000;8;CAR;18,9;11,9;3;3;1900;0;1;2,9;1;https://www.cian.ru/sale/flat/295649148/
5600000;12;EAR;15;;4;4;;0;1;;1;https://www.cian.ru/sale/flat/296522814/
5690000;11;SEAR;13,2;5,2;1;12;1980;0;0;;1;https://www.cian.ru/sale/flat/299069460/
5699000;16;NWAR;36;20;8;9;;0;1;2,7;1;https://www.cian.ru/sale/flat/297265190/
5699000;15;EAR;29,8;;6;6;1953;0;1;6;1;https://www.cian.ru/sale/flat/293823518/
5699999;1;NAR;23,1;;2;3;2022;0;1;3,5;1;https://www.cian.ru/sale/flat/294230460/
5699999;1;NAR;22,7;;3;3;2022;0;1;3,5;1;https://www.cian.ru/sale/flat/294911919/
5700000;9;SAR;20,7;15;1;14;1985;0;1;2,64;1;https://www.cian.ru/sale/flat/296486978/
5700000;5;EAR;16,2;;5;6;;0;1;3,6;1;https://www.cian.ru/sale/flat/296939878/
5700000;12;SEAR;26,4;;1;7;1958;0;1;2,8;1;https://www.cian.ru/sale/flat/299743847/
5700000;15;NWAR;27,6;14;8;9;1980;0;1;4;1;https://www.cian.ru/sale/flat/277531258/
5700000;14;CAR;43;18;1;6;;0;0;;1;https://www.cian.ru/sale/flat/297971520/
5723000;1;NEAR;19,4;;3;5;;0;1;3,15;1;https://www.cian.ru/sale/flat/299880337/
5799999;1;NAR;23;;2;3;2022;0;1;3,5;1;https://www.cian.ru/sale/flat/294972720/
