price;min_to_metro;region_of_moscow;total_area;living_area;floor;number_of_floors;construction_year;build_age ;is_new;is_apartments;ceiling_height;number_of_rooms;link
5 000 000,00;12;SEAR;74;58;1;12;1980;44;0;0;2,65;4;https://www.cian.ru/sale/flat/299187334/
5 000 000,00;8;SAR;32,8;21,8;5;12;2019;5;0;0;3;1;https://www.cian.ru/sale/flat/289694246/
5 000 000,00;4;CAR;34,7;17;4;12;1966;58;0;0;2,64;1;https://www.cian.ru/sale/flat/300062146/
5 015 000,00;4;NEAR;19,7;10,7;4;5;1955;69;0;1;3;1;https://www.cian.ru/sale/flat/300153461/
5 149 999,00;2;NEAR;19,5;37,5;1;5;1955;69;0;1;3,15;1;https://www.cian.ru/sale/flat/300668604/
5 155 000,00;2;NEAR;20,3;37,5;3;5;1955;69;0;1;3;1;https://www.cian.ru/sale/flat/300667780/
5 200 000,00;14;SAR;30;18;2;6;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/297050402/
5 200 000,00;10;NEAR;18,5;37,5;4;16;2019;5;0;1;2,5;1;https://www.cian.ru/sale/flat/292204416/
5 200 000,00;10;NEAR;18,5;10,5;4;16;1980;44;0;1;3;1;https://www.cian.ru/sale/flat/297040416/
5 200 000,00;7;SEAR;98,4;67,2;6;7;1956;68;0;0;4;4;https://www.cian.ru/sale/flat/300806626/
5 230 000,00;2;NEAR;20,6;37,5;2;5;1955;69;0;1;3;1;https://www.cian.ru/sale/flat/293859596/
5 250 000,00;12;SAR;31,7;37,5;2;6;1986;38;0;1;4,5;2;https://www.cian.ru/sale/flat/297949797/
5 300 000,00;10;NEAR;19;10;1;16;1980;44;0;1;2,7;1;https://www.cian.ru/sale/flat/294771543/
5 350 000,00;12;SAR;31;18;2;6;1986;38;0;1;4,5;1;https://www.cian.ru/sale/flat/292533826/
5 430 000,00;16;NEAR;22,5;14;2;16;1989;35;0;1;3;1;https://www.cian.ru/sale/flat/300111122/
5 444 000,00;5;EAR;23;15;1;12;1977;47;0;1;2,5;1;https://www.cian.ru/sale/flat/281954303/
5 445 000,00;2;NEAR;19,8;37,5;2;5;2019;5;0;1;3,15;1;https://www.cian.ru/sale/flat/299884766/
5 450 000,00;60;WAR;18;37,5;4;5;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/286867547/
5 500 000,00;10;CAR;21;12;1;5;1956;68;0;1;3;1;https://www.cian.ru/sale/flat/300433015/
5 500 000,00;9;SAR;27;14;4;5;1930;94;0;1;3;1;https://www.cian.ru/sale/flat/300718061/
5 500 000,00;7;SAR;34,2;19,2;12;12;2019;5;0;0;3;1;https://www.cian.ru/sale/flat/299105794/
5 500 000,00;5;SAR;55;33;2;9;1970;54;0;0;2,64;2;https://www.cian.ru/sale/flat/300591249/
5 570 000,00;8;CAR;18,9;11,9;3;3;1900;124;0;1;2,9;1;https://www.cian.ru/sale/flat/295649148/
5 699 000,00;16;NWAR;36;20;8;9;2019;5;0;1;2,7;1;https://www.cian.ru/sale/flat/297265190/
5 699 000,00;15;EAR;29,8;37,5;6;6;1953;71;0;1;6;1;https://www.cian.ru/sale/flat/293823518/
5 699 999,00;1;NAR;22,7;37,5;3;3;2022;2;0;1;3,5;1;https://www.cian.ru/sale/flat/294911919/
5 699 999,00;1;NAR;23,1;37,5;2;3;2022;2;0;1;3,5;1;https://www.cian.ru/sale/flat/294230460/
5 700 000,00;15;NWAR;27,6;14;8;9;1980;44;0;1;4;1;https://www.cian.ru/sale/flat/277531258/
5 700 000,00;14;CAR;43;18;1;6;2019;5;0;0;3;1;https://www.cian.ru/sale/flat/297971520/
5 700 000,00;12;SEAR;26,4;37,5;1;7;1958;66;0;1;2,8;1;https://www.cian.ru/sale/flat/299743847/
5 700 000,00;9;SAR;20,7;15;1;14;1985;39;0;1;2,64;1;https://www.cian.ru/sale/flat/296486978/
5 723 000,00;1;NEAR;19,4;37,5;3;5;2019;5;0;1;3,15;1;https://www.cian.ru/sale/flat/299880337/
5 799 999,00;1;NAR;23;37,5;2;3;2022;2;0;1;3,5;1;https://www.cian.ru/sale/flat/294972720/
5 800 000,00;3;NAR;20,3;37,5;1;8;2019;5;0;1;4,1;1;https://www.cian.ru/sale/flat/299863166/
5 850 000,00;9;NAR;22,8;14;2;3;2019;5;0;1;3,4;1;https://www.cian.ru/sale/flat/300272054/
5 900 000,00;12;EAR;30;21;-1;7;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/297954187/
5 900 000,00;10;SAR;40;20,8;3;14;1986;38;0;0;2,64;1;https://www.cian.ru/sale/flat/297496940/
5 980 000,00;13;WAR;24,1;21,3;1;14;1978;46;0;1;2,64;1;https://www.cian.ru/sale/flat/291263455/
5 990 000,00;2;NAR;19,2;37,5;1;3;2019;5;0;1;3,33;1;https://www.cian.ru/sale/flat/295982641/
5 999 999,00;4;NEAR;20,3;14;3;5;1955;69;0;1;3;1;https://www.cian.ru/sale/flat/300667437/
5 999 999,00;3;NEAR;20;37,5;3;5;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/290999760/
6 000 000,00;12;SAR;32;18;3;6;1986;38;0;1;3;1;https://www.cian.ru/sale/flat/294074358/
6 000 000,00;3;SWAR;37;23,5;6;7;2013;11;0;1;3,2;1;https://www.cian.ru/sale/flat/300193305/
6 089 000,00;7;SEAR;21;13;1;7;2019;5;0;1;4,2;1;https://www.cian.ru/sale/flat/288557638/
6 137 000,00;12;SEAR;26,8;15;5;9;1980;44;0;1;2,6;1;https://www.cian.ru/sale/flat/300484391/
6 182 125,00;12;SEAR;26,8;37,5;4;9;1980;44;0;1;2,5;1;https://www.cian.ru/sale/flat/294926126/
6 200 000,00;13;SWAR;52,8;37,5;1;5;1960;64;0;1;2,6;1;https://www.cian.ru/sale/flat/299482165/
6 200 000,00;5;NEAR;51,9;30,5;13;14;1992;32;0;0;2,64;2;https://www.cian.ru/sale/flat/300366380/
6 219 000,00;8;CAR;27;18;2;8;2021;3;0;1;3,2;1;https://www.cian.ru/sale/flat/299562394/
6 299 000,00;15;EAR;29,5;37,5;6;6;2023;1;0;1;6;1;https://www.cian.ru/sale/flat/285374995/
6 300 000,00;15;CAR;40,4;37,5;1;1;2019;5;0;1;3,65;1;https://www.cian.ru/sale/flat/298986136/
6 300 000,00;8;CAR;18;11;4;6;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/298484887/
6 300 000,00;8;CAR;19,7;12,7;2;3;1900;124;0;1;3,6;1;https://www.cian.ru/sale/flat/297145162/
6 300 000,00;1;EAR;18,3;16;3;4;2019;5;0;1;2,8;1;https://www.cian.ru/sale/flat/296717856/
6 307 760,00;2;NAR;20;12;1;3;2019;5;0;1;3,33;1;https://www.cian.ru/sale/flat/295670716/
6 333 000,00;8;CAR;27;18;2;8;1995;29;0;1;3,2;1;https://www.cian.ru/sale/flat/299025994/
6 370 000,00;12;SEAR;29,8;37,5;1;9;1980;44;0;1;2,5;1;https://www.cian.ru/sale/flat/298016388/
6 370 000,00;12;SEAR;29,8;17;1;9;1980;44;0;1;2,5;1;https://www.cian.ru/sale/flat/300557537/
6 370 000,00;12;SEAR;30;18;1;9;1980;44;0;1;2,6;1;https://www.cian.ru/sale/flat/279800832/
6 400 000,00;20;NAR;22,5;11,5;1;1;2023;1;0;1;3;1;https://www.cian.ru/sale/flat/299984268/
6 400 000,00;15;EAR;24;16;2;6;1970;54;0;1;3,3;1;https://www.cian.ru/sale/flat/300184257/
6 460 000,00;12;SEAR;27;16;5;9;1980;44;0;1;2,6;1;https://www.cian.ru/sale/flat/293493990/
6 500 000,00;19;SEAR;40,6;20;6;6;2019;5;0;1;4;1;https://www.cian.ru/sale/flat/300977548/
6 500 000,00;14;NAR;18,1;13,1;2;17;2022;2;0;1;3;1;https://www.cian.ru/sale/flat/299560251/
6 500 000,00;12;NEAR;18;37,5;4;12;1981;43;0;0;2,7;1;https://www.cian.ru/sale/flat/300726839/
6 500 000,00;12;NAR;23;10;1;5;1956;68;0;1;4;1;https://www.cian.ru/sale/flat/300081634/
